address,area,rooms,bathrooms,garages,amenities,price,condo,neighborhood,zona
"Saco dos Limões, Florianópolis - SC",58,2,2,1.0,"Área de serviço
Salão de festas
Interfone
Armário embutido
Sala de jantar",1400.0,430, SC,Central
"Avenida Itamarati - Itacorubi, Florianópolis - SC",125,3,3,2.0,"Elevador
Churrasqueira
Salão de festas
Playground
Ar-condicionado",3700.0,771, Itacorubi,Central
"Carvoeira, Florianópolis - SC",30,1,1,0.0,,1200.0,0, SC,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",73,3,3,1.0,,1800.0,360, Trindade,Central
"Saco Grande, Florianópolis - SC",73,2,2,1.0,,2350.0,480, SC,Central
"Rua Pastor William Richard Schisler Filho - Itacorubi, Florianópolis - SC",62,2,2,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",1850.0,480, Itacorubi,Central
"Rua São Francisco - Centro, Florianópolis - SC",60,2,2,1.0,Elevador,1850.0,558, Centro,Central
"Avenida Mauro Ramos - Centro, Florianópolis - SC",84,3,2,2.0,"Elevador
Piscina",1950.0,976, Centro,Central
"Rua Luiz Oscar de Carvalho - Trindade, Florianópolis - SC",52,2,1,0.0,,1400.0,428, Trindade,Central
"Rua Presidente Nereu Ramos, 160 - Centro, Florianópolis - SC",76,2,3,1.0,"Mobiliado
Elevador
Piscina
Salão de festas
Playground",7900.0,0, Centro,Central
"Rua Felipe Schmidt, 1102 - Centro, Florianópolis - SC",43,1,1,1.0,"Piscina
Churrasqueira
Varanda
Sauna
Sistema de alarme",1490.0,700, Centro,Central
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",57,2,1,1.0,"Elevador
Piscina",2200.0,550, Itacorubi,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",89,3,2,1.0,"Mobiliado
Área de serviço
Salão de festas
Playground
Jardim",2400.0,640, Trindade,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",65,2,2,1.0,,1500.0,560, Trindade,Central
"Rua Hoepcke - Centro, Florianópolis - SC",98,2,4,2.0,"Elevador
Salão de festas
Playground
Sauna
Ar-condicionado",3600.0,812, Centro,Central
"Rua Silva Jardim - Centro, Florianópolis - SC",68,2,1,0.0,,1150.0,260, Centro,Central
"Centro, Florianópolis - SC",129,3,1,1.0,"Elevador
Área de serviço
Salão de festas
Playground
Varanda",2800.0,823, SC,Central
